Code,Area,Hourly  Full Time £
00AB,Barking and Dagenham,15.09
00AC,Barnet,17.73
00AD,Bexley,16.97
00AE,Brent,15.67
00AF,Bromley,20.90
00AG,Camden,20.99
00AH,Croydon,17.51
00AJ,Ealing,15.66
00AK,Enfield,16.06
00AL,Greenwich,17.95
00AM,Hackney,18.29
00AN,Hammersmith and Fulham,20.60
00AP,Haringey,17.72
00AQ,Harrow,17.94
00AR,Havering,17.19
00AS,Hillingdon,15.73
00AT,Hounslow,16.17
00AU,Islington,20.90
00AW,Kensington and Chelsea,23.10
00AX,Kingston upon Thames,19.89
00AY,Lambeth,18.80
00AZ,Lewisham,17.12
00BA,Merton,18.24
00BB,Newham,15.76
00BC,Redbridge,17.93
00BD,Richmond upon Thames,22.12
00BE,Southwark,18.72
00BF,Sutton,17.57
00BG,Tower Hamlets,20.62
00BH,Waltham Forest,17.83
00BJ,Wandsworth,21.76
00BK,Westminster,20.85